GAME_ID,GAME_DATE,MATCHUP,TEAM_ID
0042300405,2024-06-17,DAL @ BOS,1610612742
0042300405,2024-06-17,BOS vs. DAL,1610612738
0042300404,2024-06-14,BOS @ DAL,1610612738
0042300404,2024-06-14,DAL vs. BOS,1610612742
0042300403,2024-06-12,BOS @ DAL,1610612738
0042300403,2024-06-12,DAL vs. BOS,1610612742
0042300402,2024-06-09,BOS vs. DAL,1610612738
0042300402,2024-06-09,DAL @ BOS,1610612742
0042300401,2024-06-06,DAL @ BOS,1610612742
0042300401,2024-06-06,BOS vs. DAL,1610612738
0042300315,2024-05-30,MIN vs. DAL,1610612750
0042300315,2024-05-30,DAL @ MIN,1610612742
0042300314,2024-05-28,DAL vs. MIN,1610612742
0042300314,2024-05-28,MIN @ DAL,1610612750
0042300304,2024-05-27,BOS @ IND,1610612738
0042300304,2024-05-27,IND vs. BOS,1610612754
